season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2019,MLB,NL-Central,CHN,SLN,SLN,9,10,0,19
2019,MLB,NL-Central,CIN,MIL,MIL,8,11,0,19
2019,MLB,NL-Central,CIN,PIT,PIT,7,12,0,19
2019,MLB,NL-Central,CIN,SLN,SLN,7,12,0,19
2019,MLB,NL-Central,MIL,PIT,MIL,15,4,0,19
2019,MLB,NL-Central,MIL,SLN,SLN,9,10,0,19
2019,MLB,NL-Central,PIT,SLN,SLN,5,14,0,19
2019,MLB,NL-East,ATL,MIA,ATL,15,4,0,19
2019,MLB,NL-East,ATL,NYN,ATL,11,8,0,19
2019,MLB,NL-East,ATL,PHI,PHI,9,10,0,19
2019,MLB,NL-East,ATL,WAS,ATL,11,8,0,19
2019,MLB,NL-East,MIA,NYN,NYN,6,13,0,19
2019,MLB,NL-East,MIA,PHI,MIA,10,9,0,19
2019,MLB,NL-East,MIA,WAS,WAS,4,15,0,19
2019,MLB,NL-East,NYN,PHI,PHI,7,12,0,19
2019,MLB,NL-East,NYN,WAS,NYN,12,7,0,19
2019,MLB,NL-East,PHI,WAS,WAS,5,14,0,19
2019,MLB,NL-West,ARI,COL,COL,9,10,0,19
2019,MLB,NL-West,ARI,LAN,LAN,8,11,0,19
2019,MLB,NL-West,ARI,SDN,ARI,11,8,0,19
2019,MLB,NL-West,ARI,SFN,ARI,10,9,0,19
2019,MLB,NL-West,COL,LAN,LAN,4,15,0,19
2019,MLB,NL-West,COL,SDN,COL,11,8,0,19
2019,MLB,NL-West,COL,SFN,SFN,7,12,0,19
2019,MLB,NL-West,LAN,SDN,LAN,13,6,0,19
2019,MLB,NL-West,LAN,SFN,LAN,12,7,0,19
2019,MLB,NL-West,SDN,SFN,SFN,9,10,0,19
2020,MLB,AL-Central,CHA,CLE,CLE,2,8,0,10
2020,MLB,AL-Central,CHA,DET,CHA,9,1,0,10
2020,MLB,AL-Central,CHA,KCA,CHA,9,1,0,10
2020,MLB,AL-Central,CHA,MIN,TIE,5,5,0,10
2020,MLB,AL-Central,CLE,DET,CLE,7,3,0,10
2020,MLB,AL-Central,CLE,KCA,TIE,5,5,0,10
2020,MLB,AL-Central,CLE,MIN,MIN,3,7,0,10
2020,MLB,AL-Central,DET,KCA,KCA,4,6,0,10
2020,MLB,AL-Central,DET,MIN,MIN,4,6,0,10
2020,MLB,AL-Central,KCA,MIN,TIE,5,5,0,10
2020,MLB,AL-East,BAL,BOS,TIE,5,5,0,10
2020,MLB,AL-East,BAL,NYA,NYA,3,7,0,10
2020,MLB,AL-East,BAL,TBA,TBA,4,6,0,10
2020,MLB,AL-East,BAL,TOR,TOR,2,8,0,10
2020,MLB,AL-East,BOS,NYA,NYA,1,9,0,10
2020,MLB,AL-East,BOS,TBA,TBA,3,7,0,10
2020,MLB,AL-East,BOS,TOR,TIE,5,5,0,10
2020,MLB,AL-East,NYA,TBA,TBA,2,8,0,10
2020,MLB,AL-East,NYA,TOR,TIE,5,5,0,10
2020,MLB,AL-East,TBA,TOR,TBA,6,4,0,10
2020,MLB,AL-West,ANA,HOU,ANA,6,4,0,10
2020,MLB,AL-West,ANA,OAK,OAK,4,6,0,10
2020,MLB,AL-West,ANA,SEA,TIE,5,5,0,10
2020,MLB,AL-West,ANA,TEX,TEX,4,6,0,10
2020,MLB,AL-West,HOU,OAK,OAK,3,7,0,10
2020,MLB,AL-West,HOU,SEA,HOU,7,3,0,10
2020,MLB,AL-West,HOU,TEX,TIE,5,5,0,10
2020,MLB,AL-West,OAK,SEA,OAK,6,4,0,10
2020,MLB,AL-West,OAK,TEX,OAK,7,3,0,10
2020,MLB,AL-West,SEA,TEX,SEA,8,2,0,10
2020,MLB,NL-Central,CHN,CIN,CHN,6,4,0,10
2020,MLB,NL-Central,CHN,MIL,TIE,5,5,0,10
2020,MLB,NL-Central,CHN,PIT,CHN,6,4,0,10
2020,MLB,NL-Central,CHN,SLN,TIE,5,5,0,10
2020,MLB,NL-Central,CIN,MIL,CIN,6,4,0,10
2020,MLB,NL-Central,CIN,PIT,CIN,7,3,0,10
2020,MLB,NL-Central,CIN,SLN,SLN,4,6,0,10
2020,MLB,NL-Central,MIL,PIT,TIE,5,5,0,10
2020,MLB,NL-Central,MIL,SLN,TIE,5,5,0,10
2020,MLB,NL-Central,PIT,SLN,SLN,4,6,0,10
2020,MLB,NL-East,ATL,MIA,ATL,6,4,0,10
2020,MLB,NL-East,ATL,NYN,ATL,7,3,0,10
2020,MLB,NL-East,ATL,PHI,TIE,5,5,0,10
2020,MLB,NL-East,ATL,WAS,ATL,6,4,0,10
2020,MLB,NL-East,MIA,NYN,NYN,4,6,0,10
2020,MLB,NL-East,MIA,PHI,MIA,7,3,0,10
2020,MLB,NL-East,MIA,WAS,MIA,6,4,0,10
2020,MLB,NL-East,NYN,PHI,PHI,4,6,0,10
2020,MLB,NL-East,NYN,WAS,WAS,4,6,0,10
2020,MLB,NL-East,PHI,WAS,PHI,7,3,0,10
2020,MLB,NL-West,ARI,COL,TIE,5,5,0,10
2020,MLB,NL-West,ARI,LAN,LAN,2,8,0,10
2020,MLB,NL-West,ARI,SDN,TIE,5,5,0,10
2020,MLB,NL-West,ARI,SFN,SFN,2,8,0,10
2020,MLB,NL-West,COL,LAN,LAN,3,7,0,10
2020,MLB,NL-West,COL,SDN,SDN,3,7,0,10
2020,MLB,NL-West,COL,SFN,COL,6,4,0,10
2020,MLB,NL-West,LAN,SDN,LAN,6,4,0,10
2020,MLB,NL-West,LAN,SFN,LAN,6,4,0,10
2020,MLB,NL-West,SDN,SFN,SDN,8,2,0,10
2021,MLB,AL-Central,CHA,CLE,CHA,10,9,0,19
2021,MLB,AL-Central,CHA,DET,CHA,12,7,0,19
2021,MLB,AL-Central,CHA,KCA,KCA,9,10,0,19
2021,MLB,AL-Central,CHA,MIN,CHA,13,6,0,19
2021,MLB,AL-Central,CLE,DET,CLE,12,7,0,19
2021,MLB,AL-Central,CLE,KCA,CLE,14,5,0,19
2021,MLB,AL-Central,CLE,MIN,MIN,8,11,0,19
2021,MLB,AL-Central,DET,KCA,KCA,8,11,0,19
2021,MLB,AL-Central,DET,MIN,MIN,8,11,0,19
2021,MLB,AL-Central,KCA,MIN,KCA,10,9,0,19
2021,MLB,AL-East,BAL,BOS,BOS,6,13,0,19
2021,MLB,AL-East,BAL,NYA,NYA,8,11,0,19
2021,MLB,AL-East,BAL,TBA,TBA,1,18,0,19
2021,MLB,AL-East,BAL,TOR,TOR,5,14,0,19
2021,MLB,AL-East,BOS,NYA,BOS,10,9,0,19
2021,MLB,AL-East,BOS,TBA,TBA,8,11,0,19
2021,MLB,AL-East,BOS,TOR,BOS,10,9,0,19
2021,MLB,AL-East,NYA,TBA,TBA,8,11,0,19
2021,MLB,AL-East,NYA,TOR,TOR,8,11,0,19
2021,MLB,AL-East,TBA,TOR,TBA,11,8,0,19
2021,MLB,AL-West,ANA,HOU,HOU,6,13,0,19
2021,MLB,AL-West,ANA,OAK,OAK,4,15,0,19
2021,MLB,AL-West,ANA,SEA,SEA,8,11,0,19
2021,MLB,AL-West,ANA,TEX,ANA,11,8,0,19
2021,MLB,AL-West,HOU,OAK,HOU,11,8,0,19
2021,MLB,AL-West,HOU,SEA,HOU,11,8,0,19
2021,MLB,AL-West,HOU,TEX,HOU,14,5,0,19
2021,MLB,AL-West,OAK,SEA,SEA,4,15,0,19
2021,MLB,AL-West,OAK,TEX,OAK,10,9,0,19
2021,MLB,AL-West,SEA,TEX,SEA,13,6,0,19
2021,MLB,NL-Central,CHN,CIN,CIN,8,11,0,19
2021,MLB,NL-Central,CHN,MIL,MIL,4,15,0,19
2021,MLB,NL-Central,CHN,PIT,CHN,14,5,0,19
2021,MLB,NL-Central,CHN,SLN,SLN,9,10,0,19
2021,MLB,NL-Central,CIN,MIL,MIL,9,10,0,19
2021,MLB,NL-Central,CIN,PIT,CIN,13,6,0,19
2021,MLB,NL-Central,CIN,SLN,CIN,10,9,0,19
2021,MLB,NL-Central,MIL,PIT,MIL,14,5,0,19
2021,MLB,NL-Central,MIL,SLN,SLN,8,11,0,19
2021,MLB,NL-Central,PIT,SLN,SLN,7,12,0,19
2021,MLB,NL-East,ATL,MIA,ATL,11,8,0,19
2021,MLB,NL-East,ATL,NYN,ATL,10,9,0,19
2021,MLB,NL-East,ATL,PHI,ATL,10,9,0,19
2021,MLB,NL-East,ATL,WAS,ATL,14,5,0,19
2021,MLB,NL-East,MIA,NYN,NYN,9,10,0,19
2021,MLB,NL-East,MIA,PHI,MIA,10,9,0,19
2021,MLB,NL-East,MIA,WAS,WAS,8,11,0,19
2021,MLB,NL-East,NYN,PHI,PHI,9,10,0,19
2021,MLB,NL-East,NYN,WAS,NYN,11,8,0,19
2021,MLB,NL-East,PHI,WAS,PHI,13,6,0,19
2021,MLB,NL-West,ARI,COL,COL,9,10,0,19
2021,MLB,NL-West,ARI,LAN,LAN,3,16,0,19
2021,MLB,NL-West,ARI,SDN,SDN,8,11,0,19
2021,MLB,NL-West,ARI,SFN,SFN,2,17,0,19
2021,MLB,NL-West,COL,LAN,LAN,6,13,0,19
2021,MLB,NL-West,COL,SDN,COL,11,8,0,19
2021,MLB,NL-West,COL,SFN,SFN,4,15,0,19
2021,MLB,NL-West,LAN,SDN,LAN,12,7,0,19
2021,MLB,NL-West,LAN,SFN,SFN,9,10,0,19
2021,MLB,NL-West,SDN,SFN,SFN,8,11,0,19
2022,MLB,AL-Central,CHA,CLE,CLE,7,12,0,19
2022,MLB,AL-Central,CHA,DET,CHA,12,7,0,19
2022,MLB,AL-Central,CHA,KCA,KCA,9,10,0,19
2022,MLB,AL-Central,CHA,MIN,MIN,9,10,0,19
2022,MLB,AL-Central,CLE,DET,CLE,10,9,0,19
2022,MLB,AL-Central,CLE,KCA,CLE,12,7,0,19
2022,MLB,AL-Central,CLE,MIN,CLE,13,6,0,19
2022,MLB,AL-Central,DET,KCA,DET,10,9,0,19
2022,MLB,AL-Central,DET,MIN,MIN,8,11,0,19
2022,MLB,AL-Central,KCA,MIN,MIN,7,12,0,19
2022,MLB,AL-East,BAL,BOS,BOS,9,10,0,19
2022,MLB,AL-East,BAL,NYA,NYA,7,12,0,19
2022,MLB,AL-East,BAL,TBA,TBA,9,10,0,19
2022,MLB,AL-East,BAL,TOR,TOR,9,10,0,19
2022,MLB,AL-East,BOS,NYA,NYA,6,13,0,19
2022,MLB,AL-East,BOS,TBA,TBA,7,12,0,19
2022,MLB,AL-East,BOS,TOR,TOR,3,16,0,19
2022,MLB,AL-East,NYA,TBA,NYA,11,8,0,19
2022,MLB,AL-East,NYA,TOR,NYA,11,8,0,19
2022,MLB,AL-East,TBA,TOR,TBA,10,9,0,19
2022,MLB,AL-West,ANA,HOU,HOU,6,13,0,19
2022,MLB,AL-West,ANA,OAK,ANA,12,7,0,19
2022,MLB,AL-West,ANA,SEA,ANA,10,9,0,19
2022,MLB,AL-West,ANA,TEX,TEX,9,10,0,19
2022,MLB,AL-West,HOU,OAK,HOU,12,7,0,19
2022,MLB,AL-West,HOU,SEA,HOU,12,7,0,19
2022,MLB,AL-West,HOU,TEX,HOU,14,5,0,19
2022,MLB,AL-West,OAK,SEA,SEA,8,11,0,19
2022,MLB,AL-West,OAK,TEX,TEX,8,11,0,19
2022,MLB,AL-West,SEA,TEX,SEA,14,5,0,19
2022,MLB,NL-Central,CHN,CIN,CHN,11,8,0,19
2022,MLB,NL-Central,CHN,MIL,CHN,10,9,0,19
2022,MLB,NL-Central,CHN,PIT,CHN,10,9,0,19
2022,MLB,NL-Central,CHN,SLN,SLN,6,13,0,19
2022,MLB,NL-Central,CIN,MIL,MIL,6,13,0,19
2022,MLB,NL-Central,CIN,PIT,PIT,7,12,0,19
2022,MLB,NL-Central,CIN,SLN,SLN,7,12,0,19
2022,MLB,NL-Central,MIL,PIT,MIL,11,8,0,19
2022,MLB,NL-Central,MIL,SLN,SLN,9,10,0,19
2022,MLB,NL-Central,PIT,SLN,SLN,6,13,0,19
2022,MLB,NL-East,ATL,MIA,ATL,13,6,0,19
2022,MLB,NL-East,ATL,NYN,ATL,10,9,0,19
2022,MLB,NL-East,ATL,PHI,ATL,11,8,0,19
2022,MLB,NL-East,ATL,WAS,ATL,14,5,0,19
2022,MLB,NL-East,MIA,NYN,NYN,6,13,0,19
2022,MLB,NL-East,MIA,PHI,PHI,7,12,0,19
2022,MLB,NL-East,MIA,WAS,MIA,15,4,0,19
2022,MLB,NL-East,NYN,PHI,NYN,14,5,0,19
2022,MLB,NL-East,NYN,WAS,NYN,14,5,0,19
2022,MLB,NL-East,PHI,WAS,PHI,16,3,0,19
2022,MLB,NL-West,ARI,COL,COL,9,10,0,19
2022,MLB,NL-West,ARI,LAN,LAN,5,14,0,19
2022,MLB,NL-West,ARI,SDN,SDN,5,14,0,19
2022,MLB,NL-West,ARI,SFN,ARI,10,9,0,19
2022,MLB,NL-West,COL,LAN,LAN,8,11,0,19
2022,MLB,NL-West,COL,SDN,COL,10,9,0,19
2022,MLB,NL-West,COL,SFN,SFN,5,14,0,19
2022,MLB,NL-West,LAN,SDN,LAN,14,5,0,19
2022,MLB,NL-West,LAN,SFN,LAN,15,4,0,19
2022,MLB,NL-West,SDN,SFN,SDN,13,6,0,19
2023,MLB,AL-Central,CHA,CLE,CHA,8,5,0,13
2023,MLB,AL-Central,CHA,DET,DET,5,8,0,13
2023,MLB,AL-Central,CHA,KCA,KCA,6,7,0,13
2023,MLB,AL-Central,CHA,MIN,MIN,4,9,0,13
2023,MLB,AL-Central,CLE,DET,DET,4,9,0,13
2023,MLB,AL-Central,CLE,KCA,CLE,7,6,0,13
2023,MLB,AL-Central,CLE,MIN,CLE,7,6,0,13
2023,MLB,AL-Central,DET,KCA,DET,10,3,0,13
2023,MLB,AL-Central,DET,MIN,DET,8,5,0,13
2023,MLB,AL-Central,KCA,MIN,MIN,4,9,0,13
2023,MLB,AL-East,BAL,BOS,BAL,7,6,0,13
2023,MLB,AL-East,BAL,NYA,BAL,7,6,0,13
2023,MLB,AL-East,BAL,TBA,BAL,8,5,0,13
2023,MLB,AL-East,BAL,TOR,BAL,10,3,0,13
2023,MLB,AL-East,BOS,NYA,BOS,9,4,0,13
2023,MLB,AL-East,BOS,TBA,TBA,2,11,0,13
2023,MLB,AL-East,BOS,TOR,BOS,7,6,0,13
2023,MLB,AL-East,NYA,TBA,TBA,5,8,0,13
2023,MLB,AL-East,NYA,TOR,NYA,7,6,0,13
2023,MLB,AL-East,TBA,TOR,TBA,7,6,0,13
2023,MLB,AL-West,ANA,HOU,HOU,4,9,0,13
2023,MLB,AL-West,ANA,OAK,ANA,7,6,0,13
2023,MLB,AL-West,ANA,SEA,SEA,5,8,0,13
2023,MLB,AL-West,ANA,TEX,TEX,6,7,0,13
2023,MLB,AL-West,HOU,OAK,HOU,10,3,0,13
2023,MLB,AL-West,HOU,SEA,SEA,4,9,0,13
2023,MLB,AL-West,HOU,TEX,HOU,9,4,0,13
2023,MLB,AL-West,OAK,SEA,SEA,1,12,0,13
2023,MLB,AL-West,OAK,TEX,TEX,4,9,0,13
2023,MLB,AL-West,SEA,TEX,TEX,4,9,0,13
2023,MLB,NL-Central,CHN,CIN,CIN,6,7,0,13
2023,MLB,NL-Central,CHN,MIL,MIL,6,7,0,13
2023,MLB,NL-Central,CHN,PIT,CHN,10,3,0,13
2023,MLB,NL-Central,CHN,SLN,CHN,8,5,0,13
2023,MLB,NL-Central,CIN,MIL,MIL,3,10,0,13
2023,MLB,NL-Central,CIN,PIT,PIT,5,8,0,13
2023,MLB,NL-Central,CIN,SLN,SLN,6,7,0,13
2023,MLB,NL-Central,MIL,PIT,MIL,8,5,0,13
2023,MLB,NL-Central,MIL,SLN,MIL,8,5,0,13
2023,MLB,NL-Central,PIT,SLN,PIT,9,4,0,13
2023,MLB,NL-East,ATL,MIA,ATL,9,4,0,13
2023,MLB,NL-East,ATL,NYN,ATL,10,3,0,13
2023,MLB,NL-East,ATL,PHI,ATL,8,5,0,13
2023,MLB,NL-East,ATL,WAS,ATL,8,5,0,13
2023,MLB,NL-East,MIA,NYN,NYN,4,9,0,13
2023,MLB,NL-East,MIA,PHI,MIA,7,6,0,13
2023,MLB,NL-East,MIA,WAS,MIA,11,2,0,13
2023,MLB,NL-East,NYN,PHI,PHI,6,7,0,13
2023,MLB,NL-East,NYN,WAS,NYN,7,6,0,13
2023,MLB,NL-East,PHI,WAS,PHI,7,6,0,13
2023,MLB,NL-West,ARI,COL,ARI,10,3,0,13
2023,MLB,NL-West,ARI,LAN,LAN,5,8,0,13
2023,MLB,NL-West,ARI,SDN,ARI,7,6,0,13
2023,MLB,NL-West,ARI,SFN,ARI,7,6,0,13
2023,MLB,NL-West,COL,LAN,LAN,3,10,0,13
2023,MLB,NL-West,COL,SDN,SDN,4,9,0,13
2023,MLB,NL-West,COL,SFN,SFN,4,9,0,13
2023,MLB,NL-West,LAN,SDN,LAN,9,4,0,13
2023,MLB,NL-West,LAN,SFN,LAN,7,6,0,13
2023,MLB,NL-West,SDN,SFN,SDN,8,5,0,13
2024,MLB,AL-Central,CHA,CLE,CLE,5,8,0,13
2024,MLB,AL-Central,CHA,DET,DET,3,10,0,13
2024,MLB,AL-Central,CHA,KCA,KCA,1,12,0,13
2024,MLB,AL-Central,CHA,MIN,MIN,1,12,0,13
2024,MLB,AL-Central,CLE,DET,CLE,7,6,0,13
2024,MLB,AL-Central,CLE,KCA,KCA,5,8,0,13
2024,MLB,AL-Central,CLE,MIN,CLE,10,3,0,13
2024,MLB,AL-Central,DET,KCA,KCA,6,7,0,13
2024,MLB,AL-Central,DET,MIN,MIN,6,7,0,13
2024,MLB,AL-Central,KCA,MIN,MIN,6,7,0,13
2024,MLB,AL-East,BAL,BOS,BAL,8,5,0,13
2024,MLB,AL-East,BAL,NYA,BAL,8,5,0,13
2024,MLB,AL-East,BAL,TBA,BAL,9,4,0,13
2024,MLB,AL-East,BAL,TOR,BAL,7,6,0,13
2024,MLB,AL-East,BOS,NYA,NYA,6,7,0,13
2024,MLB,AL-East,BOS,TBA,TBA,6,7,0,13
2024,MLB,AL-East,BOS,TOR,BOS,8,5,0,13
2024,MLB,AL-East,NYA,TBA,NYA,7,6,0,13
2024,MLB,AL-East,NYA,TOR,NYA,7,6,0,13
2024,MLB,AL-East,TBA,TOR,TBA,9,4,0,13
2024,MLB,AL-West,ANA,HOU,HOU,4,9,0,13
2024,MLB,AL-West,ANA,OAK,OAK,5,8,0,13
2024,MLB,AL-West,ANA,SEA,ANA,8,5,0,13
2024,MLB,AL-West,ANA,TEX,TEX,4,9,0,13
2024,MLB,AL-West,HOU,OAK,HOU,8,5,0,13
2024,MLB,AL-West,HOU,SEA,SEA,5,8,0,13
2024,MLB,AL-West,HOU,TEX,HOU,7,6,0,13
2024,MLB,AL-West,OAK,SEA,SEA,4,9,0,13
2024,MLB,AL-West,OAK,TEX,TEX,6,7,0,13
2024,MLB,AL-West,SEA,TEX,SEA,10,3,0,13
2024,MLB,NL-Central,CHN,CIN,CIN,5,8,0,13
2024,MLB,NL-Central,CHN,MIL,MIL,5,8,0,13
2024,MLB,NL-Central,CHN,PIT,CHN,7,6,0,13
2024,MLB,NL-Central,CHN,SLN,SLN,6,7,0,13
2024,MLB,NL-Central,CIN,MIL,MIL,4,9,0,13
2024,MLB,NL-Central,CIN,PIT,PIT,5,8,0,13
2024,MLB,NL-Central,CIN,SLN,CIN,7,6,0,13
2024,MLB,NL-Central,MIL,PIT,MIL,7,6,0,13
2024,MLB,NL-Central,MIL,SLN,MIL,8,5,0,13
2024,MLB,NL-Central,PIT,SLN,SLN,5,8,0,13
2024,MLB,NL-East,ATL,MIA,ATL,9,4,0,13
2024,MLB,NL-East,ATL,NYN,ATL,7,6,0,13
2024,MLB,NL-East,ATL,PHI,ATL,7,6,0,13
2024,MLB,NL-East,ATL,WAS,WAS,5,8,0,13
2024,MLB,NL-East,MIA,NYN,NYN,6,7,0,13
2024,MLB,NL-East,MIA,PHI,PHI,6,7,0,13
2024,MLB,NL-East,MIA,WAS,WAS,2,11,0,13
2024,MLB,NL-East,NYN,PHI,PHI,6,7,0,13
2024,MLB,NL-East,NYN,WAS,NYN,11,2,0,13
2024,MLB,NL-East,PHI,WAS,PHI,9,4,0,13
2024,MLB,NL-West,ARI,COL,ARI,9,4,0,13
2024,MLB,NL-West,ARI,LAN,LAN,6,7,0,13
2024,MLB,NL-West,ARI,SDN,SDN,6,7,0,13
2024,MLB,NL-West,ARI,SFN,ARI,7,6,0,13
2024,MLB,NL-West,COL,LAN,LAN,3,10,0,13
2024,MLB,NL-West,COL,SDN,COL,8,5,0,13
2024,MLB,NL-West,COL,SFN,SFN,3,10,0,13
2024,MLB,NL-West,LAN,SDN,SDN,5,8,0,13
2024,MLB,NL-West,LAN,SFN,LAN,9,4,0,13
2024,MLB,NL-West,SDN,SFN,SDN,7,6,0,13
